RPG Life Sciences,Sun Pharma (Peer),Nifty Pharma Index
222.8629150390625,427.3970947265625,9463.7001953125
227.3267364501953,435.16973876953125,9464.5
236.3953857421875,449.5300598144531,9768.599609375
245.93389892578125,441.1413269042969,9802.099609375
257.2109375,448.4399719238281,9833.599609375
249.880859375,451.33099365234375,9864.0498046875
257.39892578125,469.0563049316406,10077.849609375
264.5880432128906,468.487548828125,10081.2998046875
257.7748107910156,463.5111999511719,9939.099609375
255.8953094482422,474.6487731933594,10122.0498046875
259.7953186035156,473.13214111328125,10149.25
252.04234313964844,448.9613342285156,9933.400390625
245.698974609375,455.0751037597656,9982.7998046875
245.79290771484375,460.4779357910156,9989.0498046875
245.65196228027344,458.2030944824219,9926.400390625
249.31700134277344,460.33587646484375,9977.2001953125
253.9687957763672,459.0087890625,9975.2998046875
250.9615936279297,462.6580810546875,10002.150390625
256.8350524902344,467.4923400878906,10218.349609375
265.80975341796875,474.3644104003906,10360.7998046875
255.1904754638672,459.15093994140625,10110.5
255.47239685058594,462.2315979003906,10193.150390625
252.88809204101562,454.9329528808594,10137.849609375
248.56520080566406,456.87603759765625,10135.900390625
249.73989868164062,448.2978515625,9985.150390625
248.84713745117188,443.74798583984375,9882.849609375
250.86764526367188,448.3451843261719,9943.650390625
252.04234313964844,451.9945068359375,9963.400390625
248.80014038085938,455.1699523925781,9901.25
249.50497436523438,454.2694396972656,9878.0
256.6471252441406,457.3500061035156,9948.5
254.10977172851562,456.8286437988281,9987.5498046875
255.4254150390625,468.1557922363281,10072.25
262.56756591796875,473.6534423828125,10106.599609375
281.2217102050781,466.44964599609375,10155.0498046875
270.50848388671875,469.29327392578125,10210.75
271.4952697753906,473.6534423828125,10382.2998046875
283.2421569824219,477.3501892089844,10472.150390625
298.13726806640625,458.5822448730469,10304.599609375
288.8807373046875,452.3736572265625,10153.7998046875
280.51690673828125,449.5774230957031,10175.2001953125
284.79278564453125,451.1888122558594,10322.150390625
293.4854736328125,460.2884521484375,10237.9501953125
291.1361083984375,450.7148742675781,10062.0498046875
292.54571533203125,457.44476318359375,10128.0498046875
292.8746337890625,467.302734375,10441.150390625
297.71441650390625,483.3692321777344,10766.0498046875
306.970947265625,503.9854736328125,11148.900390625
345.3130187988281,492.3266906738281,11128.400390625
334.5058288574219,501.3787841796875,11316.9501953125
350.4346618652344,501.2839660644531,11263.75
354.38165283203125,504.50677490234375,11403.650390625
342.8226318359375,498.53515625,11333.0
379.4731140136719,515.5022583007812,11941.400390625
365.84661865234375,512.84814453125,11772.25
354.99249267578125,504.4119567871094,11590.25
355.2273864746094,493.6536560058594,11477.9501953125
351.0924987792969,503.6537170410156,11640.400390625
342.54071044921875,500.8100891113281,11595.349609375
348.6961364746094,498.58258056640625,11581.7001953125
352.40814208984375,498.96258544921875,11537.900390625
352.9720153808594,496.0184326171875,11540.900390625
359.6912536621094,505.56268310546875,11614.900390625
367.6321716308594,506.607421875,11572.25
361.00689697265625,498.6775817871094,11500.0
359.36236572265625,498.72509765625,11484.5498046875
353.958740234375,505.4678649902344,11588.0498046875
347.6623840332031,527.785400390625,11622.900390625
313.4083251953125,494.0716552734375,11079.7998046875
321.9130859375,495.21124267578125,11339.5
346.81658935546875,488.6109313964844,11404.25
346.1117858886719,497.110595703125,11511.849609375
335.5395202636719,486.66412353515625,11281.4501953125
338.1708679199219,487.4238586425781,11269.849609375
328.39739990234375,476.64495849609375,11093.2001953125
325.6720886230469,483.6725769042969,11304.099609375
330.5118713378906,482.39056396484375,11303.400390625
347.9443054199219,480.1112976074219,11313.2998046875
347.239501953125,470.8519592285156,11233.2998046875
354.2876892089844,480.9186096191406,11450.5
362.27557373046875,492.40966796875,11688.5498046875
352.0791931152344,486.2367248535156,11735.9501953125
380.7417297363281,497.0156555175781,12320.900390625
369.8406066894531,478.3069152832031,11799.5498046875
358.8924255371094,483.2452697753906,11876.849609375
372.2839660644531,477.5946350097656,11685.900390625
360.91290283203125,461.3551330566406,11334.599609375
365.7056579589844,465.0113830566406,11595.900390625
381.8224792480469,484.432373046875,11796.599609375
