Solar_Radiation (W/m2),Temperature (C),Energy_Generated_kWh
431.0,31.0,323.25
224.0,29.5,168.0
45.0,26.1,33.75
0.0,23.9,0.0
0.0,21.5,0.0
0.0,23.1,0.0
0.0,22.0,0.0
0.0,19.9,0.0
0.0,22.0,0.0
0.0,18.7,0.0
0.0,18.9,0.0
0.0,20.0,0.0
0.0,18.5,0.0
0.0,16.5,0.0
0.0,17.0,0.0
1.0,16.6,0.75
91.0,18.8,68.25
289.0,21.5,216.75
491.0,24.1,368.25
649.0,26.6,486.75
746.0,28.2,559.5
772.0,29.0,579.0
726.0,29.5,544.5
611.0,29.7,458.25
437.0,29.5,327.75
229.0,28.4,171.75
46.0,25.1,34.5
0.0,23.5,0.0
0.0,21.2,0.0
0.0,21.1,0.0
0.0,20.7,0.0
0.0,19.4,0.0
0.0,18.7,0.0
0.0,18.4,0.0
0.0,17.7,0.0
0.0,17.0,0.0
0.0,16.6,0.0
0.0,16.1,0.0
0.0,16.4,0.0
1.0,15.9,0.75
90.0,18.6,67.5
289.0,22.0,216.75
489.0,25.1,366.75
646.0,27.1,484.5
743.0,28.4,557.25
754.0,29.0,565.5
721.0,29.5,540.75
603.0,29.6,452.25
434.0,29.4,325.5
228.0,28.5,171.0
47.0,25.2,35.25
0.0,25.6,0.0
0.0,22.4,0.0
0.0,21.6,0.0
0.0,20.0,0.0
0.0,19.1,0.0
0.0,18.8,0.0
0.0,18.5,0.0
0.0,17.5,0.0
0.0,17.6,0.0
0.0,19.0,0.0
0.0,17.1,0.0
0.0,17.8,0.0
1.0,16.6,0.75
90.0,19.2,67.5
283.0,22.5,212.25
483.0,25.5,362.25
648.0,27.6,486.0
736.0,28.8,552.0
754.0,29.4,565.5
696.0,29.7,522.0
603.0,30.0,452.25
429.0,30.0,321.75
220.0,28.9,165.0
48.0,26.0,36.0
0.0,23.6,0.0
0.0,25.5,0.0
0.0,23.9,0.0
0.0,21.4,0.0
0.0,20.4,0.0
0.0,20.2,0.0
0.0,19.0,0.0
0.0,20.0,0.0
0.0,18.9,0.0
0.0,18.3,0.0
0.0,18.6,0.0
0.0,19.9,0.0
1.0,19.1,0.75
92.0,20.9,69.0
288.0,23.1,216.0
485.0,25.0,363.75
641.0,26.7,480.75
737.0,28.0,552.75
749.0,29.2,561.75
669.0,29.8,501.75
589.0,29.9,441.75
426.0,29.5,319.5
232.0,28.7,174.0
50.0,24.7,37.5
0.0,25.9,0.0
0.0,22.1,0.0
0.0,21.6,0.0
0.0,20.5,0.0
0.0,20.0,0.0
0.0,19.5,0.0
0.0,19.2,0.0
0.0,19.8,0.0
0.0,19.4,0.0
0.0,17.1,0.0
0.0,16.5,0.0
0.0,17.2,0.0
1.0,17.5,0.75
76.0,18.7,57.0
217.0,21.5,162.75
470.0,24.7,352.5
647.0,27.1,485.25
740.0,28.4,555.0
762.0,29.1,571.5
719.0,29.6,539.25
612.0,29.8,459.0
440.0,29.5,330.0
237.0,28.8,177.75
51.0,25.0,38.25
0.0,24.5,0.0
0.0,23.5,0.0
0.0,22.0,0.0
0.0,21.2,0.0
0.0,20.7,0.0
